first_name,last_name,phone_number,email,address,post_code,country,cust_id
"Kelsey","Pollen",3638396600,"pollen0@unesco.org","67 Fulton Street","10430","Croatia",49879
"Odo","Allen",4341498187,"allen1@wufoo.com","28823 Dixon Street","","Greece",71372
"Pearl","Plank",6967949011,"plank2@delicious.com","43273 Dawn Center","34032 CEDEX 1","France",47412
"Doreen","Duckit",6492745310,"duckit3@pagesperso-orange.fr","458 Duke Plaza","","Indonesia",77005
"Shawn","Bramley",5794250155,"bramley4@goodreads.com","27185 Golf Hill","","Indonesia",77700
"Ches","Pahler",4817157020,"pahler5@hubpages.com","29 Anderson Road","","Indonesia",88572
"Persis","Klinck",7426992579,"klinck6@xrea.com","00 Nevada Point","","Indonesia",50207
"Roth","Punshon",9717459289,"punshon7@prnewswire.com","125 Little Fleur Point","9800-226","Portugal",24993
"Dayna","Brunetti",1149378481,"brunetti8@china.com.cn","32 Melby Place","549 31","Czech Republic",29969
"Adelind","Anand",5234239945,"anand9@mysql.com","52 Nobel Way","756 53","Czech Republic",80525
"Rich","Amner",6458351411,"amnera@va.gov","84 Kinsman Point","38180-000","Brazil",13214
"Jard","Scandred",1253722201,"scandredb@youku.com","30 Nobel Court","4600","Philippines",24771
"Ted","McDuffie",6594454295,"mcduffiec@unblog.fr","857 Northridge Lane","443049","Colombia",56640
"Teresita","Medgwick",6712928172,"medgwickd@google.nl","2 Mifflin Junction",,"Burkina Faso",95872
"Keri","Foggarty",5341668020,"foggartye@facebook.com","2 Park Meadow Court","142817","Russia",23544
,"Adamovicz",6388750460,,"5691 Porter Crossing","","Greece",65541
"Lawry","Castenda",7129668473,"castendag@php.net","31428 Waywood Alley","89-320","Poland",73832
"Freda","Greenhough",4494399953,"greenhoughh@baidu.com","85 Brown Hill","104 62","Sweden",60461
"Chucho","Sedgmond",7401675928,"sedgmondi@timesonline.co.uk","8640 Meadow Vale Plaza","","China",12759
"Brianna","Erdely",2713878815,"erdelyj@google.es","926 Dovetail Crossing","J8C","Canada",35572
"Roxi","Hesse",8547106946,"hessek@comcast.net","2283 Elka Park","34-722","Poland",69840
"Evie","Ramberg",9995480071,"rambergl@loc.gov","87 Loeprich Trail","3905","Philippines",25650
"Shoshanna","Sevier",7963293376,"sevierm@123-reg.co.uk","30 Lien Terrace","","China",34959
"Molly","Vasyutochkin",3295056457,"vasyutochkinn@1688.com","248 Schlimgen Drive","2303","Philippines",43472
"Timi","Napthine",1071153712,"napthineo@state.gov","022 Judy Court","252 82","Czech Republic",58213
"Eirena","Nicholson",6591363138,"nicholsonp@time.com","37754 Valley Edge Terrace","26209 CEDEX","France",18107
"Rodie","Verrillo",5508701202,"verrilloq@hp.com","25 Melrose Point","","China",12127
"Carey","Fayter",7971035530,,"85 Tony Hill","","Taiwan",22252
"Courtney","Byneth",9004795839,"byneths@apple.com","970 Butterfield Street","59380-000","Brazil",37896
"Hannis","Loding",9144904206,"lodingt@lulu.com","0 Banding Point","54501","Finland",49882
"Devin","Petford",4601337913,,"71268 Elka Plaza","","China",79688
"Joana","Foulcher",4743190664,"foulcherv@quantcast.com","93824 New Castle Court","10100","Thailand",45493
"Tabbi","Belford",2797344801,"belfordw@globo.com","4 Roxbury Way","","China",53639
"Klement","Gricewood",1109572608,"gricewoodx@unicef.org","626 Banding Lane","43-419","Poland",70467
"Rudy","Ansteys",5859444518,"ansteysy@cdbaby.com","43792 Shasta Lane","7005-104","Portugal",52351
